"","RunIdentifier","eventID","principalInvestigator","samplingProtocol","dayDeployed","dayCollected","timeOfDay","yearDeployed","yearCollected","lengthDeployment","collectorList","labWorkerList","continentOcean","country","municipality","county","locality","island","islandGroup","locationID","locationRemarks","decimalLatitude","decimalLongitude","DMSLatitude","DMSLongitude","horizontalDatum","habitat","depthOfBottomInMeters","minimumDepthinMeters","maximumDepthinMeters","fieldNotes","fullUnit","scrubbie","unitNotes","unitAttachment","unitImageInSitu","unitRetrievalBin","unitRetrievalBinNotes","unitRetrievalUnfilteredWater","unitRetrievalFilteredWater","unitRetrievalBubbler","timeBetweenRetrievalAndProcessing","associatedInSituEnvData","associatedInSituEnvDataNotes","associatedInSituEnvParameters","associatedBenthicData","associatedBenthicDataNotes","eventEnteredBy","recordedbyID","permitType","permitURI","eventRemarks","bcid","uniqueLatLong","materialSampleID","sampleSizeFractionation","sampleWetWeight","weightNotes","institutionCode","institutionID","collectionCode","traditionalKnowledgeNotice","associatedMedia","associatedReferences","datasetName","sampleEnteredBy","subProject","fractionStorageBuffer","motileFractionDecanting","motileFractionDecantingARMSProtocolFollowed","motileFractionWeightPostDecantation","fractionDecantingMethod","fractionNotes","homogenisation","homogenisationSample","homogenisationMethod","sessileWaterRemoval","sessileFractionWash","sessileFractionWashMethod","sessileFractionWashMethodNotes","sampleExtractionKitManufacturer","sampleExtractionKit","sampleExtractionWeight","sampleExtractCleanUp","sampleExtractCleanUpKitManufacturer","sampleExtractCleanUpKit","sampleExtractArchive","X","X.1","bioSampleAccession","bioProjectAccession","metabarcodingGeneticMarker","ampliconPrimerForward","ampliconPrimerReverse","ampliconPrimerRef","ampliconPCRTriplicates","ampliconPCRProtocol","ampliconPCRPolymerase","ampliconPCRCycles","ampliconAnnealingTemp","ampliconPCRNotes","ampliconPCRTriplicateMerged","libraryPrepProtocol","indexPCRMethod","indexPCRKit","indexPCRProtocol","sequencingRunID","sequencingTriplicates"
"PHR_42_500","Run13","Ransome_PHR42_PHR42A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2010,2013,36,"Molly Timmers",NA,"Pacific","USA",NA,"","Pearl and Hermes","Pearl and Hermes","Northwest Hawaiian Islands","PHR42",NA,27.753133,-175.948767,"27° 45' 11.27"" N","175° 56' 55.56"" W",NA,"forereef",16,NA,16,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2NWHI_2013_PHR_42A","27.753133 -175.948767","Ransome_PHR42_PHR42A_100101_130101_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2262","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"SAI_5_500","Run13","Ransome_SAI05_SAI05A_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","Northern Mariana Islands",NA,"","Northern Mariana Islands","Saipan","Northern Mariana Islands","SAI05",NA,15.09787,145.74339,"15° 05' 52.33"" N","145° 44' 36.20"" E",NA,"forereef",17,NA,17,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MI_2014_SAI_05A","15.09787 145.74339","Ransome_SAI05_SAI05A_110101_140101_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2273","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"SAI_6_100","Run13","Ransome_SAI06_SAI06B_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","Northern Mariana Islands",NA,"","Northern Mariana Islands","Saipan","Northern Mariana Islands","SAI06",NA,15.15643,145.69002,"15° 09' 23.14"" N","145° 41' 24.07"" E",NA,"forereef",11,NA,11,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MI_2014_SAI_06B","15.15643 145.69002","Ransome_SAI06_SAI06B_110101_140101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2275","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"SAI_8_500","Run13","Ransome_SAI06_SAI06B_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","Northern Mariana Islands",NA,"","Northern Mariana Islands","Saipan","Northern Mariana Islands","SAI06",NA,15.15643,145.69002,"15° 09' 23.14"" N","145° 41' 24.07"" E",NA,"forereef",11,NA,11,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MI_2014_SAI_06B","15.15643 145.69002","Ransome_SAI06_SAI06B_110101_140101_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2278","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"TIM_2_500","Run13","Ransome_TIM02_TIM02A_121017_140922","Ransome","ARMS","17/10/2012","22/09/2014",NA,2012,2014,23,"Molly Timmers, Max Sudnovsky",NA,"Pacific","East Timor",NA,"","Beacou","","","TIM02",NA,-8.85329,125.01327,"08° 51' 11.84"" S","125° 00' 47.77"" E",NA,"fringing reef",14,NA,14,NA,"Yes",NA,"RevC","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/Cak2TIM_02_A","-8.85329 125.01327","Ransome_TIM02_TIM02A_121017_140922_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2285","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"TIM_4_500","Run13","Ransome_TIM04_TIM04A_121019_140928","Ransome","ARMS","19/10/2012","28/09/2014",NA,2012,2014,23,"Molly Timmers, Max Sudnovsky",NA,"Pacific","East Timor",NA,"","Baucau","","","TIM04",NA,-8.4196,126.42707,"08° 25' 10.56"" S","126° 25' 37.45"" E",NA,"fringing reef",14,NA,14,NA,"Yes",NA,"RevC","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/Cak2TIM_04_A","-8.4196 126.42707","Ransome_TIM04_TIM04A_121019_140928_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2287","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"TIM_9_500","Run13","Ransome_TIM09_TIM09A_121024_140924","Ransome","ARMS","24/10/2012","24/09/2014",NA,2012,2014,23,"Molly Timmers, Max Sudnovsky",NA,"Pacific","East Timor",NA,"","Manatuto","","","TIM09",NA,-8.47513,125.90675,"08° 28' 30.46"" S","125° 54' 24.30"" E",NA,"fringing reef",15,NA,15,NA,"Yes",NA,"RevC","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/Cak2TIM_09_A","-8.47513 125.90675","Ransome_TIM09_TIM09A_121024_140924_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2293","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"WAK_6_500","Run13","Ransome_WAK06_WAK06A_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","Wake Island",NA,"","Wake Island","Wake Island","","WAK06",NA,19.29178,166.60729,"19° 17' 30.40"" N","166° 36' 26.24"" E",NA,"forereef",14,NA,14,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2PRIA_2014_WAK_06A","19.29178 166.60729","Ransome_WAK06_WAK06A_110101_140101_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2330","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"WAK_8_500","Run13","Ransome_WAK08_WAK08A_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","Wake Island",NA,"","Wake Island","Wake Island","","WAK08",NA,19.31627,166.59834,"19° 18' 58.57"" N","166° 35' 54.02"" E",NA,"forereef",12,NA,12,NA,"",NA,"","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2PRIA_2014_WAK_08A","19.31627 166.59834","Ransome_WAK08_WAK08A_110101_140101_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2333","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"CE_02_100","Run14","Ransome_IND01_CE02_110701_120601","Ransome","ARMS","01/07/2011","01/06/2012",NA,2011,2012,11,"",NA,"Pacific","Indonesia",NA,"","Close Encounters","","Bali","IND01",NA,-8.12792,114.66807,"08° 07' 40.51"" S","114° 40' 05.05"" E",NA,"",10,NA,10,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-8.12792 114.66807","Ransome_IND01_CE02_110701_120601_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2063","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"FFS_34_100","Run14","Ransome_FFS34_FFS34A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","USA",NA,"","USA","French Frigate Shoals","Northwest Hawaiian Islands","FFS34",NA,23.627917,-166.135383,"23° 37' 40.50"" N","166° 08' 07.37"" W",NA,"forereef",10,NA,10,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2NWHI_2013_FFS_34A","23.627917 -166.135383","Ransome_FFS34_FFS34A_100101_130101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2072","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"GUA_5_100","Run14","Ransome_GUA05_GUA05B_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","Guam",NA,"","Guam","Guam","Mairanas Islands","GUA05",NA,13.57845859,144.8283336,"13° 34' 42.45"" N","144° 49' 42.00"" E",NA,"forereef",12,NA,12,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MI_2014_GUA_05B","13.57845859 144.8283336","Ransome_GUA05_GUA05B_110101_140101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2078","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"HAW_22_100","Run14","Ransome_HAW22_HAW22B_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2010,2013,36,"Molly Timmers",NA,"Pacific","USA",NA,"","Hawaii","Hawaii","Hawaiian Islands","HAW22",NA,18.96859682,-155.730732,"18° 58' 06.94"" N","155° 43' 50.63"" W",NA,"forereef",15,NA,15,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MHI_2013_HAW_22B","18.96859682 -155.730732","Ransome_HAW22_HAW22B_100101_130101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2090","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"HAW_24A_100","Run14","Ransome_HAW24_HAW24A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2010,2013,36,"Molly Timmers",NA,"Pacific","USA",NA,"","Hawaii","Hawaii","Hawaiian Islands","HAW24",NA,19.03821667,-155.88255,"19° 02' 17.58"" N","155° 52' 57.18"" W",NA,"forereef",15,NA,15,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MHI_2013_HAW_24A","19.03821667 -155.88255","Ransome_HAW24_HAW24A_100101_130101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2093","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"KAU_2_100","Run14","Ransome_KAU02_KAU02A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2010,2013,36,"Molly Timmers",NA,"Pacific","USA",NA,"","Kauai","Kauai","Hawaiian Islands","KAU02",NA,22.16408333,-159.2989167,"22° 09' 50.69"" N","159° 17' 56.10"" W",NA,"forereef",14,NA,14,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MHI_2013_KAU_02A","22.16408333 -159.2989167","Ransome_KAU02_KAU02A_100101_130101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2142","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"KAU_6_100","Run14","Ransome_KAU06_KAU06A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2010,2013,36,"Molly Timmers",NA,"Pacific","USA",NA,"","Kauai","Kauai","Hawaiian Islands","KAU06",NA,21.88966667,-159.6090167,"21° 53' 22.80"" N","159° 36' 32.46"" W",NA,"forereef",12,NA,12,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MHI_2013_KAU_06A","21.88966667 -159.6090167","Ransome_KAU06_KAU06A_100101_130101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2145","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"KUR_12_100","Run14","Ransome_KUR12_KUR12A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2010,2013,36,"Molly Timmers",NA,"Pacific","USA",NA,"","Kure","Kure","Northwest Hawaiian Islands","KUR12",NA,28.382517,-178.324733,"28° 22' 57.06"" N","178° 19' 29.03"" W",NA,"forereef",10,NA,10,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2NWHI_2013_KUR_12A","28.382517 -178.324733","Ransome_KUR12_KUR12A_100101_130101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2172","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"LIS_14_100","Run14","Ransome_LIS14_LIS14B_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2010,2013,36,"Molly Timmers",NA,"Pacific","USA",NA,"","Lisianski","Lisianski","Northwest Hawaiian Islands","LIS14",NA,26.0782,-173.997033,"26° 04' 41.51"" N","173° 59' 49.31"" W",NA,"forereef",15,NA,15,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2NWHI_2013_LIS_14B","26.0782 -173.997033","Ransome_LIS14_LIS14B_100101_130101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2181","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
